Round,Number 1,Number 2,Number 3,Number 4,Number 5,Number 6,Bonus Number,Number of 1st Prize Winner,1st Prize Amount,Number of 2nd Prize Winner,2nd Prize Amount,Number of 3rd Prize Winner,3rd Prize Amount,Draw Date
126,7,20,22,27,40,43,1,9,1369301500,35,58684350,1439,1427347,20220716
127,3,5,10,29,32,43,35,6,1965939150,43,45719516,1279,1537091,20220709
128,12,30,34,36,37,45,39,6,2064043100,23,89741005,1192,1731580,20220702
129,19,23,25,28,38,42,17,11,1093629655,50,40099754,1473,1361160,20220625
130,7,19,24,27,42,45,31,4,3036496650,30,67477704,1273,1590206,20220618
131,8,10,11,14,15,21,37,8,1451214488,33,58634929,1645,1176264,20220611
132,3,17,23,34,41,45,43,4,2920473525,34,57264187,1382,1408816,20220604
133,4,7,15,18,23,26,13,8,1450242600,51,37914840,1466,1319002,20220528
134,3,12,20,23,31,35,43,5,2349155100,50,39152585,1433,1366106,20220521
135,6,14,22,28,35,39,16,7,1717293515,28,71553897,1424,1406959,20220514
136,2,16,30,36,41,42,11,6,1997694150,26,76834391,1279,1561919,20220507
137,7,9,20,25,36,39,15,9,1270403467,40,47640130,1578,1207608,20220430
138,10,11,27,28,37,39,19,5,2227152000,32,57998750,1251,1483582,20220423
139,9,11,15,20,28,43,13,7,1650210215,28,68758759,1128,1706778,20220416
140,3,13,17,18,19,28,8,5,2109462840,34,51702521,1310,1341898,20220409
141,8,12,29,31,42,43,2,6,1900552400,29,65536290,1144,1661323,20220402
142,12,16,30,34,40,44,19,11,1018265564,28,66672150,1326,1407859,20220326
143,26,27,28,42,43,45,8,3,3954584700,35,56494068,1182,1672837,20220319
144,4,15,17,26,36,37,43,8,1402440413,38,49208436,1498,1248279,20220312
145,2,3,13,20,27,44,9,3,3797838200,38,49971556,1217,1560328,20220305
146,2,19,27,35,41,42,25,2,6043415250,34,59249170,1383,1456596,20220226
147,4,6,13,21,40,42,36,7,1700040215,35,56668008,1215,1632412,20220219
148,21,25,33,34,35,36,17,5,2323596420,35,55323725,1185,1634035,20220212
149,2,11,21,34,41,42,27,7,1639052143,43,44470407,1171,1632987,20220205
150,2,18,25,28,37,39,16,4,2831645850,46,41038346,1279,1475969,20220129
151,1,2,10,13,18,19,15,4,2716634025,45,40246430,1491,1214681,20220122
152,1,5,13,26,29,34,43,5,2278131840,30,63281440,1184,1603415,20220115
153,3,8,11,12,13,36,33,4,2730526125,52,35006746,1446,1258888,20220108
154,6,19,21,35,40,45,20,4,2836628700,32,59096432,1189,1590485,20220101
155,16,19,20,32,33,41,4,9,1193005734,37,48365098,1287,1390450,20211225
156,5,18,28,30,42,45,2,8,1401099900,30,62271107,1230,1518808,20211218
157,19,26,30,33,35,39,37,2,5484903750,28,65296474,1155,1582945,20211211
158,4,9,13,18,21,34,7,10,1069544340,45,39612754,1516,1175841,20211204
159,1,18,30,41,42,43,32,6,1755407300,24,73141971,1071,1639036,20211127
160,3,7,8,34,39,41,1,2,5490805350,32,57195890,1079,1696264,20211120
161,22,34,36,40,42,45,44,7,1996876272,63,33275487,1381,1517999,20211113
162,1,5,21,25,38,41,24,5,2308265760,33,58289540,1172,1641259,20211106
163,7,11,26,28,29,44,16,7,1629726515,47,40454205,1390,1367876,20211030
164,6,9,10,11,39,41,27,3,4054937900,39,51986384,1626,1246906,20211023
165,5,13,18,19,22,42,31,2,6767426700,40,56395223,1535,1469583,20211016
166,9,12,27,36,39,45,14,11,1111299982,28,72763690,1507,1351947,20211009
167,24,27,28,30,36,39,4,5,2491222920,36,57667198,1313,1581127,20211002
168,3,10,31,40,42,43,30,5,2349946920,54,36264613,1544,1268322,20210925
169,16,27,35,37,43,45,19,5,2482888380,31,66744312,1171,1766929,20210918
170,2,11,13,15,31,42,10,6,1923108250,27,71226232,1309,1469144,20210911
171,4,16,25,29,34,35,1,6,1961339700,19,103228406,1381,1420232,20210904
172,4,19,21,24,26,41,35,11,1081154073,19,104321885,1276,1553383,20210828
173,3,9,24,30,33,34,18,8,1487736788,63,31486493,1448,1369924,20210821
174,13,14,18,22,35,39,16,7,1771103058,26,79472574,1325,1559462,20210814
175,19,26,28,31,33,36,17,5,2371132620,48,41165497,1347,1466922,20210807
176,4,17,30,32,33,34,15,5,2314663080,40,48222148,1535,1256604,20210731
177,1,10,13,16,37,43,6,7,1693285500,30,65849992,1260,1567857,20210724
178,1,5,11,12,18,23,9,5,2254621080,44,42701157,1566,1199778,20210717
179,5,9,17,25,39,43,32,10,1081093920,53,33996665,1540,1170016,20210710
180,2,15,20,21,29,34,22,2,5763371550,35,54889253,1284,1496203,20210703
181,14,21,23,32,40,45,44,6,1941763300,24,80906805,1233,1574829,20210626
182,13,15,27,29,34,40,35,3,3721439400,44,42289085,1228,1515245,20210619
183,2,18,24,34,40,42,5,6,1777221500,25,71088860,1294,1373433,20210612
184,1,2,6,16,20,33,41,6,1747753050,31,56379131,1331,1313113,20210605
185,1,2,4,8,19,38,14,3,3522485800,34,51801262,1228,1434237,20210529
186,4,10,14,19,21,45,9,9,1187882600,46,38735303,1169,1524230,20210522
187,1,2,8,18,29,38,42,7,1544733900,19,94852082,1253,1438300,20210515
188,19,24,27,30,31,34,36,3,3501405200,33,53051594,1320,1326290,20210508
189,8,14,32,35,37,45,28,3,3461775100,33,52451138,1085,1595289,20210501
190,8,14,18,30,31,44,15,6,1784159450,33,54065438,1016,1756063,20210424
191,5,6,24,25,32,37,8,4,2577114675,23,74698977,1145,1500504,20210417
192,4,8,11,18,37,45,33,4,2445348375,38,42900849,1098,1484729,20210410
193,6,14,18,26,36,39,13,3,3404449700,20,85111243,1135,1499758,20210403
194,15,20,23,26,39,44,28,4,2650567875,21,84145012,1072,1648364,20210327
195,7,10,19,22,35,40,31,11,918992591,66,25527572,1691,996346,20210320
196,35,36,37,41,44,45,30,15,727876520,27,67395975,1518,1198743,20210313
197,7,12,16,34,42,45,4,6,1803018300,42,42929008,1229,1467062,20210306
198,12,19,20,25,41,45,2,6,1797855050,25,71914202,1050,1712243,20210227
199,14,21,22,25,30,36,43,2,5344252200,23,77452931,1049,1698206,20210220
200,5,6,13,14,17,20,7,8,1344616613,58,30910727,1387,1292590,20210213
201,3,11,24,38,39,44,26,1,9719465400,37,43781376,1347,1202607,20210206
202,12,14,27,33,39,44,17,6,1893391700,40,47334793,1232,1536844,20210130
203,1,3,11,24,30,32,7,5,2164564740,43,41948930,1328,1358287,20210123
204,3,12,14,35,40,45,5,8,1358347125,23,78744761,1180,1534856,20210116
205,1,3,21,29,35,37,30,6,1835221800,21,87391515,1098,1671423,20210109
206,1,2,3,15,20,25,43,5,2032859340,36,47056930,1549,1093641,20210102
207,3,11,14,31,32,37,38,5,2104673760,37,47402563,1203,1457935,20201226
208,14,25,31,34,40,44,24,6,1760767400,34,51787277,1224,1438536,20201219
209,2,7,18,20,24,33,37,6,1660896350,34,48849893,1358,1223046,20201212
210,10,19,22,23,25,37,39,2,5139085950,46,37239754,1298,1319745,20201205
211,12,13,17,20,33,41,8,10,1035800250,29,59528750,1308,1319828,20201128
212,11,12,18,21,31,38,8,4,2660747250,36,49273098,1228,1444489,20201121
213,2,3,4,5,20,24,42,8,1376678025,33,55623355,1977,928463,20201114
214,5,7,20,25,28,37,32,8,1406980875,36,52110403,1433,1309124,20201107
215,2,3,7,15,43,44,4,7,1587689615,32,57884518,1248,1484219,20201031
216,7,16,17,33,36,40,1,13,848506108,63,29181427,2612,703840,20201024
217,16,20,27,33,35,39,38,7,1611246172,29,64820249,1206,1558696,20201017
218,1,8,14,18,29,44,20,4,2779075800,26,71258354,1203,1540081,20201010
219,4,11,20,26,35,37,16,9,1208409167,41,44210092,1292,1402952,20201003
220,5,11,19,21,34,43,31,6,1958094950,28,69931963,1317,1486785,20200926
221,2,20,33,35,37,40,10,6,1800104250,44,40911461,1608,1119468,20200919
222,5,7,28,29,39,43,44,5,2275193820,33,57454390,1105,1715833,20200912
223,1,3,18,20,26,27,38,7,1498170600,39,44817070,1416,1234369,20200905
224,4,19,26,27,30,42,7,6,1808969950,26,69575768,1158,1562151,20200829
225,5,11,13,19,31,36,7,6,1777201800,41,43346386,1287,1380888,20200822
226,2,6,8,14,21,22,34,6,1744100150,38,45897373,1305,1336476,20200815
227,4,5,15,16,22,42,2,2,5253542400,24,72965867,1103,1587653,20200808
228,17,25,35,36,39,44,23,9,1146700334,39,44103859,1338,1285539,20200801
229,4,5,9,11,23,38,35,7,1451441100,27,62716591,1312,1290662,20200725
230,5,11,14,29,32,33,12,8,1292929163,25,68956222,1037,1662397,20200718
231,5,10,19,31,44,45,27,9,1088365900,19,85923624,1267,1288516,20200711
232,8,9,10,12,24,44,35,9,1110918400,18,92576534,1268,1314178,20200704
233,4,6,13,17,28,40,39,10,999153750,26,64048318,1274,1307109,20200627
234,13,21,22,24,26,37,4,4,2519743875,23,73036055,1049,1601363,20200620
235,21,22,26,27,31,37,8,3,3433330100,29,59195347,1178,1457271,20200613
236,1,4,8,13,37,39,7,2,5030040150,41,40894636,1046,1602945,20200606
237,1,11,17,21,24,44,33,7,1440630729,39,43095792,1098,1530725,20200530
238,2,4,15,28,31,34,35,9,1121660567,29,58016926,1066,1578322,20200523
239,11,15,24,39,41,44,7,9,1134140167,29,58662423,1083,1570832,20200516
240,6,10,16,40,41,43,21,2,5098251450,28,60693470,1084,1567728,20200509
241,2,16,24,27,28,35,21,4,2552016300,34,50039536,967,1759405,20200502
242,4,19,20,21,32,34,43,8,1234542375,36,45723792,1245,1322134,20200425
243,2,12,17,19,28,42,34,4,2408850000,29,55375863,1089,1474656,20200418
244,13,16,25,36,37,38,19,1,9121583100,25,60810554,1096,1387103,20200411
245,9,11,27,31,32,38,22,7,1382583129,35,46086105,1092,1477119,20200404
246,13,18,21,23,26,39,15,5,1911774240,26,61274816,1294,1231179,20200328
247,12,15,28,36,39,40,13,6,1669313900,29,57562549,1019,1638189,20200321
248,3,8,17,23,38,45,13,8,1227479363,23,71158224,1155,1417004,20200314
249,3,8,27,31,41,44,11,6,1663568700,29,57364438,1169,1423070,20200307
250,19,23,30,37,43,45,38,5,1994726280,17,97780700,1051,1581610,20200229
251,6,7,19,25,28,38,45,8,1282616400,40,42753880,1242,1376937,20200222
252,14,23,26,31,39,45,28,7,1391089715,24,67622417,1087,1493044,20200215
253,8,19,25,31,34,36,33,4,2466189525,20,82206318,1169,1406439,20200208
254,1,5,19,20,24,30,27,1,9741015900,33,49197050,1225,1325309,20200201
255,1,5,6,24,27,42,32,6,1598618550,13,122970658,1054,1516716,20200125
256,4,11,14,21,23,43,32,2,4891017000,34,47951148,1192,1367735,20200118
257,6,13,27,31,32,37,4,4,2391377025,18,88569520,1233,1292986,20200111
258,14,27,30,31,38,40,17,4,2426434350,28,57772247,1724,938297,20200104
259,4,5,14,35,42,45,34,2,4838533500,25,64513780,1030,1565869,20191228
260,7,12,15,24,37,40,43,4,2310085575,26,59232964,1284,1199422,20191221
261,6,11,16,18,31,43,2,3,3192299100,32,49879674,1104,1445788,20191214
262,9,12,24,25,29,31,36,2,4518741600,21,71726058,1106,1361888,20191207
263,1,27,28,32,37,40,18,6,1551704900,27,57470552,937,1656036,20191130
264,9,16,27,36,41,44,5,7,1344889200,27,58112497,1047,1498604,20191123
265,5,9,34,37,38,39,12,8,1200838575,19,84269374,1010,1585266,20191116
266,3,4,9,11,22,42,37,3,3207211700,36,44544607,1194,1343054,20191109
267,7,8,24,34,36,41,1,3,3257663300,28,58172559,1141,1427548,20191102
268,3,10,19,24,32,45,12,7,1350954515,35,45031818,1362,1157206,20191026
269,5,18,20,36,42,43,32,5,1961399940,22,74295453,1014,1611933,20191019
270,5,9,12,20,21,26,27,5,1927830060,32,50203908,1242,1293499,20191012
271,3,8,9,27,29,40,36,6,1565918150,28,55925649,1256,1246751,20191005
272,7,9,12,27,39,43,28,9,1104622800,39,42485493,1370,1209442,20190928
273,1,8,24,31,34,44,6,3,3339543100,21,79512931,1096,1523515,20190921
274,13,14,15,26,35,39,25,4,2505085575,37,45136678,1254,1331784,20190914
275,14,19,20,35,38,40,26,1,10044066900,19,88105850,991,1689215,20190907
276,4,15,21,33,39,41,25,3,3312569000,31,53428533,1161,1426602,20190831
277,10,12,13,15,25,29,20,3,3272627800,31,52784320,1104,1482169,20190824
278,3,11,37,39,41,43,13,3,3186530000,27,59009815,1089,1463054,20190817
279,7,16,31,36,37,38,11,5,1914205320,27,59080412,1088,1466150,20190810
280,10,11,23,24,36,37,35,7,1355258529,27,58560554,1145,1380904,20190803
281,1,3,4,6,14,41,12,6,1554683200,37,42018465,1491,1042712,20190727
282,2,5,10,18,31,32,30,7,1322052643,32,48199836,1523,1012735,20190720
283,6,8,18,31,38,45,42,3,3137224600,24,65358846,1061,1478429,20190713
284,2,7,15,24,30,45,28,3,3117640300,14,111344297,955,1632273,20190706
285,13,33,37,40,41,45,2,3,3164370100,26,60853272,1017,1555738,20190629
286,1,15,19,40,42,44,17,3,3236566300,27,59936413,1033,1566586,20190622
287,6,12,24,27,35,37,41,7,1328657100,37,41894594,1330,1165489,20190615
288,1,12,17,28,35,41,10,4,2357261550,24,65479488,1056,1488171,20190608
289,3,14,33,37,38,42,10,0,0,24,63761694,1019,1501748,20190601
290,8,13,18,32,39,45,7,13,2149214424,61,51251650,2297,1361059,20190525
291,3,7,8,18,20,42,45,7,1450585200,39,43393575,1227,1379258,20190518
292,17,18,31,32,33,34,10,14,720373950,37,45428988,1688,995778,20190511
293,1,9,17,21,29,33,24,6,1656764400,21,78893543,1154,1435672,20190504
294,6,10,17,30,37,38,40,4,2406504975,26,61705256,1137,1411027,20190427
295,1,4,12,16,18,38,8,0,0,26,62969875,1013,1616207,20190420
296,3,8,15,27,30,45,44,8,3066088275,53,46243415,2066,1186303,20190413
297,6,11,19,20,28,32,34,2,5056668750,28,60198438,1275,1322005,20190406
298,5,9,27,29,37,40,19,1,9909778500,40,41290744,1353,1220717,20190330
299,1,3,20,25,36,45,24,7,1483772529,29,59691999,1118,1548362,20190323
300,7,9,10,12,26,38,39,12,836092425,34,49181908,1416,1180922,20190316
301,7,11,13,33,37,43,26,7,1447385015,47,35927997,1271,1328573,20190309
